Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Jamario Moon,3,2.9,1.0,-0.37,-1.12,+0.75
Josh Huestis,3,1.1,0.4,-0.80,-1.56,+0.76
Timofey Mozgov,8,8.2,1.0,-0.80,-1.75,+0.95
DaQuan Jeffries,2,0.7,0.3,-0.71,-0.69,-0.02
BJ Johnson,2,0.1,0.1,-0.81,-0.53,-0.28
Brian Skinner,3,0.1,0.0,-1.00,-1.04,+0.04
Lester Hudson,4,0.7,0.2,-0.48,+0.17,-0.64
Justin Anderson,5,2.9,0.6,-0.81,-0.25,-0.56
Zoran Dragic,1,0.1,0.1,-0.82,+0.01,-0.83
Tremont Waters,2,0.4,0.2,-0.60,+0.02,-0.62
Ike Anigbogu,2,0.0,0.0,-0.82,-0.14,-0.68
Trevor Booker,8,10.5,1.3,-0.86,-0.83,-0.03
Pops Mensah-Bonsu,2,0.1,0.1,-0.96,-0.92,-0.04
Cameron Payne,6,3.9,0.7,-0.72,-0.31,-0.41
James Webb III,1,0.1,0.1,-0.83,-0.64,-0.19
Jevon Carter,3,2.3,0.8,-0.76,-1.00,+0.24
Richard Jefferson,9,14.9,1.7,-0.70,-0.75,+0.05
Isaac Bonga,3,1.8,0.6,-0.83,-2.30,+1.46
Coty Clarke,1,0.0,0.0,-0.84,-0.27,-0.57
Derrick Jones Jr.,5,4.4,0.9,-0.87,-0.91,+0.04
Jalen Jones,2,0.4,0.2,-0.84,-0.61,-0.23
Justin Dentmon,2,0.1,0.0,-0.94,-0.80,-0.13
Terence Davis,2,2.1,1.1,-0.92,-0.24,-0.68
James Nunnally,3,0.3,0.1,-0.78,-0.58,-0.20
Thomas Welsh,1,0.0,0.0,-0.85,-0.35,-0.50
Juan Toscano-Anderson,2,1.7,0.9,-0.41,-1.99,+1.57
Randolph Morris,1,0.0,0.0,-1.81,-1.35,-0.46
Demetrius Jackson,3,0.1,0.0,-0.86,-0.32,-0.54
Wilson Chandler,10,16.7,1.7,-0.82,-0.48,-0.35
Peja Stojakovic,2,3.1,1.6,-0.46,+0.02,-0.49
Chris McCullough,3,0.5,0.2,-0.86,-0.86,-0.01
Ante Zizic,3,1.5,0.5,-0.87,-1.13,+0.26
Ty-Shon Alexander,1,0.1,0.1,-0.72,-0.22,-0.50
Terry Rozier,6,9.9,1.7,-0.82,-0.11,-0.71
Ben Moore,1,0.0,0.0,-0.87,-0.22,-0.65
Maurice Ndour,1,0.3,0.3,-0.87,-1.56,+0.69
Mfiondu Kabengele,2,0.3,0.1,-1.12,-0.89,-0.23
Sergey Karasev,3,1.1,0.4,-0.87,-0.84,-0.03
Rodney Hood,7,9.8,1.4,-0.88,-0.36,-0.52
Justin Harper,3,0.1,0.0,-0.93,-0.67,-0.26
Shamorie Ponds,1,0.0,0.0,-0.88,-0.25,-0.62
Bobby Portis,6,7.3,1.2,-0.91,-0.10,-0.81
John Salmons,6,11.0,1.8,-0.80,-1.07,+0.27
Jordan Mickey,3,0.5,0.2,-0.89,-1.27,+0.38
Ime Udoka,2,1.4,0.7,-0.36,-0.84,+0.48
Jarrell Brantley,2,0.2,0.1,-1.20,-0.58,-0.62
Chris Silva,2,0.4,0.2,-0.90,-1.24,+0.33
Jabari Parker,7,8.0,1.1,-0.89,-0.00,-0.89
Jerami Grant,7,12.1,1.7,-0.91,-1.18,+0.27
Chris Babb,1,0.1,0.1,-0.91,-0.45,-0.46
Brad Wanamaker,3,2.4,0.8,-1.01,-0.94,-0.07
Nate Darling,1,0.0,0.0,-1.03,-0.42,-0.61
Jaylen Morris,2,0.1,0.1,-0.92,-0.97,+0.04
Onyeka Okongwu,1,0.5,0.5,-1.10,-1.63,+0.52
Darrell Arthur,8,6.7,0.8,-0.97,-1.82,+0.85
Edy Tavares,2,0.1,0.0,-0.93,-0.54,-0.39
Moses Brown,2,0.6,0.3,-1.35,-1.58,+0.22
Dylan Windler,1,0.5,0.5,-0.72,-1.17,+0.44
Henry Walker,4,2.6,0.7,-0.90,-0.72,-0.18
Joel Anthony,8,5.4,0.7,-0.84,-2.52,+1.68
Tyrese Haliburton,1,1.5,1.5,-1.01,+0.68,-1.69
Charlie Villanueva,7,5.7,0.8,-0.95,+0.22,-1.16
Tibor Pleiss,1,0.1,0.1,-0.95,-0.63,-0.32
Skal Labissiere,4,2.3,0.6,-0.95,-1.05,+0.10
Will Cherry,1,0.1,0.1,-0.95,-0.56,-0.39
Lou Amundson,7,4.5,0.6,-0.73,-1.90,+1.17
Guerschon Yabusele,2,0.4,0.2,-0.95,-0.43,-0.53
Reggie Evans,6,6.0,1.0,-0.68,-1.63,+0.96
Dakota Mathias,1,0.1,0.1,-1.14,-0.03,-1.11
Kira Lewis Jr.,1,0.8,0.8,-1.02,-0.50,-0.52
Marvin Bagley III,3,2.7,0.9,-0.97,-0.06,-0.91
Evan Fournier,9,14.1,1.6,-0.99,+0.02,-1.01
Xavier Rathan-Mayes,1,0.1,0.1,-0.97,-0.55,-0.42
Armoni Brooks,1,-0.1,-0.1,-2.67,-0.79,-1.88
Mo Williams,7,11.6,1.7,-0.80,+0.28,-1.08
Andrew Harrison,3,2.6,0.9,-0.98,-1.09,+0.11
Lance Stephenson,9,11.0,1.2,-0.92,-0.55,-0.37
Joe Harris,7,9.6,1.4,-0.90,+0.00,-0.91
Bogdan Bogdanovic,4,7.0,1.8,-0.84,+0.25,-1.09
Thon Maker,5,3.2,0.6,-0.99,-1.26,+0.27
Mason Jones,1,0.3,0.3,-1.03,-0.48,-0.55
Saben Lee,1,0.3,0.3,-1.76,-1.33,-0.44
Alex Kirk,1,0.0,0.0,-1.00,-0.55,-0.45
Carl Landry,7,8.0,1.1,-1.02,-0.08,-0.93
Oleksiy Pecherov,1,0.7,0.7,-0.02,-0.76,+0.73
Jamil Wilson,1,0.2,0.2,-1.00,-1.08,+0.08
Steven Hunter,1,0.2,0.2,-0.79,-0.86,+0.07
Daniel Gibson,4,4.2,1.0,-0.99,-0.34,-0.65
Courtney Fortson,1,0.1,0.1,-1.28,-0.92,-0.37
Marcus Thornton,8,9.9,1.2,-1.00,+0.76,-1.75
Josh Davis,1,0.1,0.1,-1.49,-0.54,-0.95
Miles Plumlee,7,4.9,0.7,-1.02,-2.02,+1.00
Tyler Hansbrough,7,6.5,0.9,-0.96,-0.54,-0.42
Damion James,3,0.7,0.2,-0.73,-2.09,+1.35
Shaquille Harrison,4,1.9,0.5,-1.20,-1.48,+0.28
Vic Law,1,0.1,0.1,-1.02,-0.83,-0.19
D.J. Wilson,4,1.5,0.4,-1.05,-1.42,+0.37
Deni Avdija,1,1.3,1.3,-0.77,-2.13,+1.36
Sergio Rodriguez,2,2.5,1.2,-0.85,+0.01,-0.86
Gary Payton II,5,0.7,0.1,-1.01,-1.08,+0.07
Greg Whittington,1,0.0,0.0,-0.82,-0.39,-0.43
Chinanu Onuaku,2,0.1,0.0,-1.04,-0.47,-0.57
Coby Karl,1,0.1,0.1,-1.09,-0.58,-0.50
Marcus Landry,1,0.1,0.1,-1.10,-0.56,-0.54
Taurean Prince,5,6.7,1.3,-1.00,-0.94,-0.06
Buddy Hield,5,10.8,2.2,-0.86,+0.58,-1.45
Jordan Loyd,1,0.0,0.0,-1.05,-0.41,-0.63
Shaun Livingston,10,11.3,1.1,-1.01,-0.94,-0.06
Brandon Bass,8,10.0,1.3,-1.14,-1.09,-0.05
Craig Brackins,2,0.1,0.0,-1.61,-0.64,-0.97
Anthony Lamb,1,-0.1,-0.1,-2.73,-1.40,-1.33
Aaron Brooks,8,9.0,1.1,-1.06,+0.56,-1.62
Sasha Kaun,1,0.1,0.1,-1.05,-1.06,+0.01
Naz Mitrou-Long,3,0.1,0.0,-1.06,-0.32,-0.74
Jerian Grant,5,4.2,0.8,-1.06,-0.77,-0.28
Charles Cooke,1,0.0,0.0,-1.06,-0.36,-0.70
Daniel Hamilton,2,0.2,0.1,-1.07,-0.96,-0.10
Luc Mbah a Moute,11,11.8,1.1,-1.04,-2.08,+1.05
Josh Childress,4,1.3,0.3,-1.01,-0.23,-0.78
Trey Burke,8,7.8,1.0,-1.13,+0.69,-1.82
Courtney Lee,11,16.0,1.5,-1.11,-0.32,-0.79
Kenrich Williams,3,3.2,1.1,-0.87,-1.33,+0.47
Keljin Blevins,1,0.0,0.0,-1.32,-1.11,-0.21
Khyri Thomas,3,0.4,0.1,-0.73,-0.49,-0.24
Ronnie Price,8,5.0,0.6,-0.89,-1.46,+0.57
Sam Dekker,4,2.5,0.6,-1.08,-0.52,-0.56
Lavoy Allen,6,5.9,1.0,-1.03,-1.56,+0.53
Festus Ezeli,3,2.2,0.7,-0.96,-2.43,+1.47
Leon Powe,2,0.5,0.3,-0.97,-0.63,-0.33
Tyler Cavanaugh,2,0.4,0.2,-1.10,-0.19,-0.91
Quincy Acy,7,4.2,0.6,-1.15,-1.57,+0.43
Jordan McRae,4,1.4,0.3,-1.11,-0.18,-0.93
Shake Milton,3,1.5,0.5,-1.41,-0.09,-1.33
David Nwaba,5,3.2,0.6,-1.09,-1.02,-0.07
Jaylen Nowell,2,0.7,0.3,-1.16,-0.26,-0.90
Avery Bradley,11,13.3,1.2,-1.12,-0.92,-0.20
Nick Richards,1,0.0,0.0,-1.17,-0.70,-0.47
Ben Uzoh,2,1.0,0.5,-0.52,-0.43,-0.08
John Lucas III,6,2.2,0.4,-0.98,+0.19,-1.17
Chuma Okeke,1,0.8,0.8,-1.19,-1.32,+0.13
Aaron Jackson,1,0.0,0.0,-1.13,-0.31,-0.82
Daniel Ochefu,1,0.1,0.1,-1.13,-0.62,-0.52
Arnett Moultrie,2,0.5,0.3,-1.23,-0.76,-0.47
Axel Toupane,3,0.3,0.1,-1.13,-0.92,-0.21
Jordan Nwora,1,0.2,0.2,-1.33,-0.95,-0.38
Justin Hamilton,3,1.5,0.5,-1.14,-0.98,-0.17
Moritz Wagner,3,1.3,0.4,-1.31,-1.57,+0.26
Brian Cardinal,3,0.9,0.3,-1.08,-1.17,+0.09
Vitor Faverani,1,0.4,0.4,-1.15,-1.95,+0.80
Mickell Gladness,1,0.2,0.2,-1.09,-1.82,+0.73
Alec Burks,10,9.3,0.9,-1.15,-0.12,-1.03
Marcus Derrickson,1,0.1,0.1,-1.15,-0.21,-0.94
Markel Brown,3,1.4,0.5,-1.16,-0.48,-0.68
Kenny Thomas,1,0.3,0.3,-0.84,-1.48,+0.65
Stephen Jackson,5,8.7,1.7,-0.65,-0.36,-0.29
Dion Waiters,8,9.3,1.2,-1.13,-0.29,-0.84
Norman Powell,6,6.3,1.0,-1.12,-0.45,-0.67
Ramon Sessions,9,9.8,1.1,-1.22,+0.19,-1.41
Nathan Knight,1,0.3,0.3,-0.68,-0.32,-0.36
Lindsey Hunter,1,0.1,0.1,-1.00,-0.24,-0.76
Marshall Plumlee,2,0.2,0.1,-1.17,-0.68,-0.49
Nicolas Brussino,2,0.4,0.2,-1.18,-0.65,-0.52
Jordan Hamilton,5,1.8,0.4,-1.05,-0.35,-0.69
Bol Bol,2,0.1,0.1,-1.53,-1.11,-0.42
Donatas Motiejunas,6,3.6,0.6,-1.13,-1.06,-0.06
Gerald Henderson,8,9.5,1.2,-1.28,-0.89,-0.39
Payton Pritchard,1,1.0,1.0,-1.15,-0.17,-0.98
Tim Thomas,1,0.2,0.2,-1.39,-0.03,-1.36
Noah Vonleh,7,4.2,0.6,-1.19,-2.02,+0.83
Josh Okogie,3,3.6,1.2,-1.11,-1.31,+0.19
D.J. Augustin,12,14.6,1.2,-1.22,+0.41,-1.62
John Holland,1,0.1,0.1,-1.20,-0.37,-0.82
Jeff Green,11,18.5,1.7,-1.12,-0.48,-0.64
Brian Cook,3,0.8,0.3,-0.79,-0.91,+0.12
Shawne Williams,4,3.1,0.8,-1.02,-0.72,-0.30
Jake Layman,5,2.1,0.4,-1.21,-1.21,-0.00
Bruce Brown,3,4.0,1.3,-0.97,-1.48,+0.50
Tyler Ulis,3,2.0,0.7,-1.20,-0.39,-0.81
Vincent Poirier,2,0.1,0.1,-1.25,-0.92,-0.33
Eddy Curry,3,0.1,0.0,-1.78,-0.99,-0.79
Aaron Holiday,3,2.4,0.8,-1.27,-0.62,-0.65
Rayjon Tucker,2,0.2,0.1,-1.20,-0.50,-0.70
Theo Pinson,3,0.4,0.1,-1.21,-1.03,-0.19
Udonis Haslem,12,6.1,0.5,-1.12,-1.60,+0.48
Raul Neto,6,3.9,0.7,-1.10,-0.92,-0.18
Haywood Highsmith,1,0.0,0.0,-1.22,-0.39,-0.83
Nicolo Melli,2,1.1,0.6,-1.28,-1.59,+0.31
Jamal Crawford,11,14.8,1.3,-1.18,+1.32,-2.50
Gerald Green,8,7.7,1.0,-1.17,+0.23,-1.40
Frank Mason,4,1.1,0.3,-1.24,-0.32,-0.92
Kurt Thomas,4,2.3,0.6,-1.28,-2.94,+1.66
Diamond Stone,1,0.0,0.0,-1.23,-0.65,-0.58
Rodney McGruder,5,3.5,0.7,-1.24,-0.93,-0.30
Malcolm Lee,3,0.5,0.2,-0.97,-1.05,+0.08
Garrett Temple,11,10.0,0.9,-1.21,-1.54,+0.33
Malik Beasley,5,3.3,0.7,-1.33,-0.14,-1.19
Georges Niang,5,2.8,0.6,-0.78,-0.21,-0.57
Jamel Artis,1,0.2,0.2,-1.26,-0.97,-0.29
Jodie Meeks,10,9.8,1.0,-1.09,+0.19,-1.29
Thomas Robinson,5,3.2,0.6,-1.17,-1.23,+0.06
Mike Miller,8,5.1,0.6,-1.25,-0.30,-0.94
C.J. Williams,2,0.6,0.3,-1.27,-1.23,-0.04
Andris Biedrins,5,2.7,0.5,-1.11,-3.22,+2.11
Torrey Craig,4,2.3,0.6,-1.44,-0.86,-0.57
Georgios Papagiannis,2,0.3,0.2,-1.27,-1.54,+0.27
Ryan Broekhoff,2,0.4,0.2,-1.27,-0.58,-0.69
Drew Gordon,1,0.0,0.0,-1.27,-0.79,-0.48
Jaron Blossomgame,1,0.3,0.3,-1.28,-1.50,+0.22
Jamaal Franklin,2,0.1,0.1,-1.28,-1.15,-0.12
Josh Boone,1,0.9,0.9,-1.06,-2.10,+1.04
Karim Mane,1,0.0,0.0,-1.48,-1.39,-0.09
Ron Baker,3,1.0,0.3,-1.28,-1.29,+0.02
Khem Birch,4,2.9,0.7,-1.12,-1.38,+0.26
James Jones,8,3.5,0.4,-1.18,-0.24,-0.94
Tyler Cook,2,-0.1,0.0,-2.52,-1.71,-0.82
Brandon Goodwin,3,0.7,0.2,-1.38,-0.58,-0.80
Mychal Mulder,2,0.6,0.3,-1.37,-0.23,-1.14
Malachi Flynn,1,0.6,0.6,-1.38,-1.55,+0.17
C.J. Wilcox,3,0.3,0.1,-1.30,-0.57,-0.73
Ivan Rabb,2,0.8,0.4,-1.30,-1.09,-0.21
T.J. Ford,3,1.9,0.6,-0.97,-0.78,-0.19
Devin Vassell,1,0.6,0.6,-1.40,-1.50,+0.10
Andrea Bargnani,7,6.6,0.9,-1.30,+0.20,-1.51
Stanley Johnson,6,4.9,0.8,-1.30,-1.97,+0.67
Brandon Knight,8,8.8,1.1,-1.30,-0.19,-1.11
Marreese Speights,9,6.9,0.8,-1.20,-0.69,-0.52
Tornike Shengelia,2,0.1,0.1,-1.49,-0.92,-0.56
Alex Poythress,3,0.4,0.1,-1.31,-1.04,-0.27
Jamaal Tinsley,4,2.7,0.7,-0.65,-0.50,-0.15
Jalen Smith,1,0.1,0.1,-1.44,-0.96,-0.47
Sasha Vujacic,5,2.2,0.4,-1.37,-0.19,-1.17
Malachi Richardson,3,0.4,0.1,-1.32,-1.01,-0.31
David Andersen,2,1.2,0.6,-0.83,-0.86,+0.03
Gary Trent Jr.,3,1.7,0.6,-1.50,+0.31,-1.81
Myke Henry,1,0.2,0.2,-1.33,-0.79,-0.54
Tayshaun Prince,7,10.5,1.5,-1.16,-0.49,-0.68
Aaron Harrison,3,0.2,0.1,-1.33,-0.68,-0.66
Josh Green,1,0.3,0.3,-1.37,-1.23,-0.14
Jerome Jordan,2,0.3,0.1,-1.41,-1.00,-0.41
Glen Davis,6,5.8,1.0,-1.26,-1.64,+0.38
Quinndary Weatherspoon,2,0.1,0.1,-1.37,-0.95,-0.42
Malcolm Delaney,2,1.4,0.7,-1.34,-1.03,-0.32
Precious Achiuwa,1,0.4,0.4,-1.42,-2.30,+0.88
Svi Mykhailiuk,3,2.2,0.7,-1.19,-0.54,-0.65
Tyler Lydon,2,0.1,0.0,-1.35,-0.71,-0.64
Chris Singleton,3,2.0,0.7,-1.16,-2.32,+1.17
Zhou Qi,2,0.1,0.0,-1.35,-1.11,-0.25
Josh Hall,1,-0.1,-0.1,-2.56,-2.41,-0.14
Troy Brown Jr.,3,1.9,0.6,-1.36,-0.33,-1.03
Zach LaVine,7,9.0,1.3,-1.28,+0.57,-1.85
Cartier Martin,6,2.6,0.4,-1.06,-0.49,-0.57
Markus Howard,1,0.0,0.0,-2.31,-0.53,-1.79
Roger Mason Jr.,5,3.6,0.7,-0.94,+0.02,-0.96
Rodions Kurucs,3,1.3,0.4,-1.36,-1.85,+0.48
Sindarius Thornwell,4,1.2,0.3,-1.24,-2.22,+0.98
Shelvin Mack,8,5.7,0.7,-1.29,-0.51,-0.78
Dillon Brooks,4,4.8,1.2,-1.24,-0.90,-0.35
Donte Greene,3,3.1,1.0,-0.98,-1.19,+0.22
Luka Samanic,2,0.2,0.1,-1.53,-1.44,-0.08
Briante Weber,3,0.4,0.1,-1.37,-0.72,-0.65
Anthony Morrow,8,6.7,0.8,-1.37,+0.17,-1.54
Bismack Biyombo,10,9.0,0.9,-1.37,-2.61,+1.25
Trey Thompkins,1,0.0,0.0,-1.90,-0.92,-0.98
Jarrett Jack,9,10.0,1.1,-1.30,-0.01,-1.29
Chris Richard,1,0.1,0.1,-1.58,-2.19,+0.61
Desmond Bane,1,0.7,0.7,-1.64,-0.75,-0.88
Oshae Brissett,2,1.0,0.5,-0.11,+0.02,-0.13
Chris Kaman,7,4.6,0.7,-1.48,-1.88,+0.40
Erik Murphy,1,0.0,0.0,-1.39,-0.90,-0.49
Corey Maggette,4,3.0,0.7,-1.33,+0.39,-1.72
James Ennis III,7,4.9,0.7,-1.38,-1.10,-0.27
James Singleton,2,1.0,0.5,-1.06,-1.57,+0.52
Jason Maxiell,6,4.8,0.8,-1.30,-2.00,+0.70
Bojan Bogdanovic,7,10.2,1.5,-1.31,+0.07,-1.38
Andrew White III,1,0.1,0.1,-1.41,-1.23,-0.18
Juancho Hernangomez,5,2.7,0.5,-1.35,-0.71,-0.63
Anthony Johnson,1,0.3,0.3,-1.09,-0.48,-0.61
Tyler Zeller,8,4.2,0.5,-1.43,-1.46,+0.03
Kendall Marshall,4,2.1,0.5,-1.27,-0.11,-1.16
Jordan Bone,2,0.1,0.1,-1.59,-1.10,-0.49
Dwight Buycks,3,0.4,0.1,-1.42,-0.89,-0.53
Melvin Frazier Jr.,2,0.1,0.0,-1.42,-1.00,-0.42
Mindaugas Kuzminskas,2,0.6,0.3,-1.42,-0.06,-1.36
Tyler Ennis,4,1.4,0.3,-1.42,-1.20,-0.22
Peyton Siva,1,0.1,0.1,-1.43,-0.93,-0.49
Charlie Bell,2,1.5,0.7,-1.08,-1.33,+0.25
Chris Clemons,1,0.2,0.2,-1.43,+0.41,-1.83
Juwan Morgan,2,0.1,0.0,-1.91,-1.13,-0.78
Damian Jones,5,1.2,0.2,-1.40,-1.52,+0.12
Ryan Arcidiacono,4,2.2,0.5,-1.41,-0.98,-0.43
Steve Blake,7,8.1,1.2,-1.12,-0.51,-0.60
Dante Cunningham,10,8.5,0.9,-1.44,-1.45,+0.00
Zach Collins,3,1.5,0.5,-1.44,-1.58,+0.14
Cole Anthony,1,0.0,0.0,-2.31,-1.43,-0.88
Anthony Carter,3,1.2,0.4,-1.08,-1.09,+0.00
Elijah Hughes,1,0.0,0.0,-1.57,-0.11,-1.47
Langston Galloway,7,5.5,0.8,-1.46,-0.47,-0.99
Nick Young,10,7.6,0.8,-1.46,+0.21,-1.67
Jon Brockman,3,1.1,0.4,-1.29,-1.09,-0.20
Jeff Ayres,6,1.0,0.2,-1.63,-1.52,-0.11
Marcelo Huertas,2,0.6,0.3,-1.47,-0.78,-0.69
Kay Felder,2,0.3,0.1,-1.47,-1.37,-0.10
Kyle Wiltjer,1,0.0,0.0,-1.47,-0.71,-0.76
O.J. Mayo,7,7.4,1.1,-1.50,-0.09,-1.42
Vlatko Cancar,2,0.0,0.0,-2.39,-1.47,-0.91
Gabe Vincent,2,0.3,0.2,-1.64,-0.91,-0.73
Branden Dawson,1,0.0,0.0,-1.48,-0.45,-1.03
Malik Hairston,1,0.2,0.2,-1.51,-1.24,-0.27
Gary Neal,7,4.7,0.7,-1.37,+0.42,-1.79
Chris Copeland,4,1.1,0.3,-1.52,-0.09,-1.43
Landry Shamet,3,2.3,0.8,-1.56,-0.33,-1.23
Eduardo Najera,3,1.1,0.4,-1.01,-1.59,+0.58
Keyon Dooling,4,2.3,0.6,-1.32,-0.52,-0.80
Marko Guduric,1,0.3,0.3,-1.50,-1.46,-0.04
Jorge Gutierrez,3,0.3,0.1,-1.50,-1.01,-0.49
CJ Elleby,1,0.1,0.1,-1.45,-0.68,-0.77
Reggie Bullock,8,4.5,0.6,-1.44,-0.95,-0.49
Kevin Huerter,3,4.5,1.5,-1.17,-0.48,-0.69
Wesley Johnson,9,8.3,0.9,-1.38,-1.64,+0.26
Leandro Barbosa,8,4.0,0.5,-1.51,-0.11,-1.40
Max Strus,2,0.4,0.2,-1.16,+0.24,-1.40
Damien Wilkins,5,2.9,0.6,-1.31,-1.34,+0.03
Julian Wright,2,1.0,0.5,-1.36,-1.81,+0.44
Sam Merrill,1,0.1,0.1,-1.62,-1.09,-0.53
Cameron Reynolds,2,0.2,0.1,-1.42,-0.83,-0.59
Solomon Hill,8,4.6,0.6,-1.58,-1.27,-0.31
Mickael Pietrus,4,3.2,0.8,-1.13,-1.16,+0.03
Quincy Miller,3,0.5,0.2,-1.58,-1.38,-0.20
Evan Turner,10,10.7,1.1,-1.46,-1.34,-0.11
Jan Vesely,3,1.2,0.4,-1.59,-2.43,+0.84
Dexter Pittman,4,0.1,0.0,-1.73,-1.80,+0.07
Robbie Hummel,2,0.7,0.4,-1.55,-0.83,-0.72
Dzanan Musa,2,0.3,0.1,-1.55,-1.17,-0.38
Nenad Krstic,2,2.1,1.0,-1.35,-1.56,+0.20
Tyler Dorsey,2,0.8,0.4,-1.55,-0.49,-1.06
Grayson Allen,3,1.1,0.4,-1.60,-0.51,-1.09
Anzejs Pasecniks,1,0.2,0.2,-1.56,-1.50,-0.05
Jordan Farmar,7,3.1,0.4,-1.52,-0.05,-1.46
P.J. Washington,2,2.7,1.4,-1.21,-2.02,+0.81
Brandon Sampson,1,0.1,0.1,-1.56,-1.19,-0.38
RJ Hunter,4,0.2,0.0,-1.57,-1.37,-0.20
Ben McLemore,8,5.6,0.7,-1.56,-0.76,-0.80
Caleb Martin,2,0.7,0.4,-1.33,-1.39,+0.05
Nico Mannion,1,0.0,0.0,-2.36,-1.20,-1.17
Dante Exum,6,2.2,0.4,-1.58,-1.32,-0.26
Chris Quinn,3,0.5,0.2,-1.06,-0.14,-0.92
Denzel Valentine,4,2.2,0.6,-1.58,-1.23,-0.35
Kendrick Nunn,2,2.3,1.2,-1.33,-0.44,-0.89
Daequan Cook,4,2.6,0.6,-0.88,-0.29,-0.59
Troy Williams,3,0.5,0.2,-1.60,-1.34,-0.26
Ben Hansbrough,1,0.1,0.1,-1.74,-1.25,-0.49
Jordan Clarkson,7,7.7,1.1,-1.49,+0.67,-2.16
Darrun Hilliard,3,0.4,0.1,-1.61,-1.35,-0.26
Jamaal Magloire,3,0.6,0.2,-1.31,-2.28,+0.98
DeSagana Diop,4,0.8,0.2,-1.03,-2.17,+1.13
Donald Sloan,5,2.1,0.4,-1.46,-0.57,-0.89
Wayne Ellington,12,8.1,0.7,-1.52,-0.36,-1.16
Reggie Williams,7,2.5,0.4,-1.29,+0.54,-1.83
Deng Adel,1,0.1,0.1,-1.62,-1.88,+0.26
Harry Giles III,3,0.9,0.3,-1.55,-1.59,+0.04
Royal Ivey,5,0.7,0.1,-1.63,-1.34,-0.29
Jason Smith,10,4.1,0.4,-1.62,-1.58,-0.04
Michael Beasley,10,5.3,0.5,-1.63,-0.82,-0.81
