Name,Season,Height,Weight,Position,School,Class,RSCI
Rawle Alkins,2017-18,76,220,SG,Arizona,2,21
Jarred Vanderbilt,2017-18,81,215,SF,Kentucky,1,12
Trevon Duval,2017-18,75,190,PG,Duke,1,6
Brandon McCoy,2017-18,85,250,C,UNLV,1,14
Alize Johnson,2017-18,80,215,PF,Missouri State,4,400
Chimezie Metu,2017-18,82,220,PF/C,USC,3,38
Raymond Spalding,2017-18,82,215,PF,Louisville,3,
Sviatoslav Mykhailiuk,2017-18,80,210,SG,Kansas,4,239
Keenan Evans,2017-18,75,185,PG/SG,Texas Tech,4,292
Bruce Brown,2017-18,77,195,SG,Miami,2,28
Shake Milton,2017-18,78,205,PG/SG,SMU,3,90
Hamidou Diallo,2017-18,77,195,SG,Kentucky,1,10
Kevin Hervey,2017-18,80,215,SF/PF,Texas Arlington,4,400
Jevon Carter,2017-18,73,195,PG,West Virginia,4,299
Tony Carr,2017-18,76,200,PG,Penn State,2,51
Justin Jackson,2017-18,79,230,SF/PF,Maryland,2,9
Kenrich Williams,2017-18,79,200,SF,TCU,4,389
Kelan Martin,2017-18,78,230,SF/PF,Butler,4,140
Malik Newman,2017-18,76,190,SG,Kansas,2,8
Devonte Graham,2017-18,73,185,PG,Kansas,4,40
Yante Maten,2017-18,80,245,PF,Georgia,4,225
Jaylen Barford,2017-18,74,205,SG,Arkansas,4,400
Rob Gray,2017-18,73,185,PG/SG,Houston,4,400
Allonzo Trier,2017-18,77,200,SG,Arizona,3,13
DJ Hogg,2017-18,80,220,SF/PF,Texas A&M,3,30
Dikembe Dixson,2017-18,79,200,SF,Illinois-Chicago,4,231
JP Macura,2017-18,77,205,SG,Xavier,4,102
Tyler Davis,2017-18,82,270,C,Texas A&M,3,31
Isaac Haas,2017-18,86,300,C,Purdue,4,82
Jaylen Adams,2017-18,74,190,PG/SG,St. Bonaventure,4,400
Gary Clark,2017-18,79,220,PF,Cincinnati,4,105
Vince Edwards,2017-18,80,225,SF,Purdue,4,
Devon Hall,2017-18,77,205,PG/SG,Virginia,4,122
George King,2017-18,78,220,SF,Colorado,4,400
Bonzie Colson,2017-18,77,225,SF/PF,Notre Dame,4,139
Johnathan Williams,2017-18,80,225,PF,Gonzaga,4,45
Deng Adel,2017-18,79,200,SF,Louisville,3,35
Kendall Stephens,2017-18,79,205,SG/SF,Nevada,4,62
Joel Berry,2017-18,72,195,PG,UNC,4,30
Theo Pinson,2017-18,78,210,SG,UNC,4,15
Donte Grantham,2017-18,80,215,SF/PF,Clemson,4,92
Tra Holder,2017-18,73,180,PG,Arizona State,4,109
Kostas Antetokounmpo,2017-18,82,195,SF/PF,Dayton,1,102
Thomas Wilder,2017-18,75,190,PG,Western Michigan,4,400
Jo Lual-Acuil,2017-18,84,225,C,Baylor,4,400
Malik Pope,2017-18,81,220,PF,San Diego State,4,51
Ajdin Penava,2017-18,81,220,PF,Marshall,3,400
Wenyen Gabriel,2017-18,81,205,SF/PF,Kentucky,2,15
Jared Terrell,2017-18,75,215,SG,Rhode Island,4,64
Marcus Foster,2017-18,74,215,PG/SG,Creighton,4,178
Muhammad-Ali Abdur-Rahkman,2017-18,76,190,SG,Michigan,4,400
Trevon Bluiett,2017-18,77,215,SG,Xavier,4,39
Kyle Washington,2017-18,81,240,PF,Cincinnati,4,82
Chris Chiozza,2017-18,72,175,PG,Florida,4,44
Anas Mahmoud,2017-18,84,215,C,Louisville,4,163
Jock Landale,2017-18,83,255,C,Saint Mary's,4,343
Kendrick Nunn,2017-18,75,190,SG,Oakland,4,56
Zion Williamson,2018-19,78,280,PF,Duke,1,5
Ja Morant,2018-19,75,175,PG,Murray State,2,328
RJ Barrett,2018-19,79,210,SG,Duke,1,1
Coby White,2018-19,77,190,PG/SG,UNC,1,25
Rui Hachimura,2018-19,80,235,PF,Gonzaga,3,148
DeAndre Hunter,2018-19,79,225,SF/PF,Virginia,2,91
Darius Garland,2018-19,74,175,PG,Vanderbilt,1,14
Nassir Little,2018-19,78,225,SF,UNC,1,3
Keldon Johnson,2018-19,78,215,SG/SF,Kentucky,1,13
Bruno Fernando,2018-19,82,240,C,Maryland,2,87
Jaxson Hayes,2018-19,83,220,PF/C,Texas,1,102
Jarrett Culver,2018-19,78,195,SG,Texas Tech,2,312
Mfiondu Kabengele,2018-19,82,255,PF/C,Florida State,2,270
Matisse Thybulle,2018-19,78,200,SG/SF,Washington,4,104
Cam Reddish,2018-19,80,210,SG/SF,Duke,1,2
Romeo Langford,2018-19,78,210,SG,Indiana,1,7
Nickeil Alexander-Walker,2018-19,77,205,SG,Virginia Tech,2,40
PJ Washington,2018-19,80,230,PF,Kentucky,2,15
Nicolas Claxton,2018-19,83,215,PF,Georgia,2,231
Bol Bol,2018-19,86,210,C,Oregon,1,4
Brandon Clarke,2018-19,80,210,PF/C,Gonzaga,3,400
KZ Okpala,2018-19,80,210,SG/SF,Stanford,2,42
Chuma Okeke,2018-19,80,235,SF/PF,Auburn,2,47
Tyler Herro,2018-19,78,195,SG,Kentucky,1,37
Eric Paschall,2018-19,79,255,PF,Villanova,4,210
Dylan Windler,2018-19,79,195,SG/SF,Belmont,4,377
Cameron Johnson,2018-19,80,205,SF,UNC,4,224
Naz Reid,2018-19,82,255,C,LSU,1,18
Ty Jerome,2018-19,77,195,PG,Virginia,3,44
Louis King,2018-19,80,195,SF,Oregon,1,20
Daniel Gafford,2018-19,82,240,PF/C,Arkansas,2,39
Kevin Porter Jr,2018-19,77,215,SG/SF,USC,1,28
Carsen Edwards,2018-19,72,200,PG,Purdue,3,118
Jalen McDaniels,2018-19,81,190,SF/PF,San Diego State,2,120
Ky Bowman,2018-19,74,180,PG,Boston College,3,324
Terance Mann,2018-19,78,205,SG,Florida State,4,100
Jordan Bone,2018-19,75,180,PG,Tennessee,3,171
Justin Wright-Foreman,2018-19,74,190,PG/SG,Hofstra,4,400
Grant Williams,2018-19,79,240,PF,Tennessee,3,191
Jaylen Nowell,2018-19,76,200,PG/SG,Washington,2,67
Zylan Cheatham,2018-19,80,220,SF/PF,Arizona State,4,72
Terence Davis,2018-19,76,190,PG/SG,Ole Miss,4,171
Oshae Brissett,2018-19,80,205,SF,Syracuse,2,137
Jontay Porter,2018-19,83,210,PF/C,Missouri,2,25
Jaylen Hoard,2018-19,80,215,SF/PF,Wake Forest,1,24
Kenny Wooten,2018-19,81,230,PF/C,Oregon,2,129
Isaiah Roby,2018-19,80,215,SF/PF,Nebraska,3,133
Marial Shayok,2018-19,78,195,SG/SF,Iowa State,4,166
Zach Norvell,2018-19,78,205,SG,Gonzaga,2,103
Jaylen Hands,2018-19,75,180,PG,UCLA,2,22
Tacko Fall,2018-19,90,290,C,Central Florida,4,142
Kyle Guy,2018-19,74,170,PG/SG,Virginia,3,37
Simisola Shittu,2018-19,82,230,PF,Vanderbilt,1,11
Tyler Cook,2018-19,80,245,PF,Iowa,3,72
Talen Horton-Tucker,2018-19,76,235,SG/SF,Iowa State,1,57
Luguentz Dort,2018-19,76,220,SG,Arizona State,1,30
Charlie Brown,2018-19,79,200,SG,St. Joseph's,2,400
Lindell Wigginton,2018-19,74,190,PG,Iowa State,2,35
Miye Oni,2018-19,77,205,SG,Yale,3,400
Admiral Schofield,2018-19,77,240,SF,Tennessee,4,251
Tyus Battle,2018-19,78,205,SG,Syracuse,3,34
Aubrey Dawkins,2018-19,78,205,SG/SF,Central Florida,3,396
James Palmer,2018-19,78,210,SG,Nebraska,4,105
Ignas Brazdeikis,2018-19,79,220,SF,Michigan,1,40
Shamorie Ponds,2018-19,73,180,PG,St. John's (NY),3,45
DMarcus Simonds,2018-19,75,195,PG/SG,Georgia State,3,196
Caleb Martin,2018-19,78,200,SG/SF,Nevada,4,61
Jordan Poole,2018-19,77,190,PG/SG,Michigan,2,93
Dewan Hernandez,2018-19,82,235,C,Miami,3,27
Marques Bolden,2018-19,83,250,C,Duke,3,14
Aric Holman,2018-19,82,225,PF,Mississippi State,4,105
Matt Morgan,2018-19,74,180,SG,Cornell,4,400
Chris Clemons,2018-19,69,180,PG,Campbell,4,400
Robert Franks,2018-19,80,230,SF/PF,Washington State,4,371
Quinndary Weatherspoon,2018-19,76,205,SG,Mississippi State,4,102
Charles Matthews,2018-19,78,195,SG,Michigan,3,60
Christ Koumadje,2018-19,88,265,C,Florida State,4,322
Donta Hall,2018-19,81,230,C,Alabama,4,151
Dedric Lawson,2018-19,80,235,PF,Kansas,3,36
Bennie Boatwright,2018-19,82,230,PF,USC,4,59
CJ Massinburg,2018-19,75,195,SG,Buffalo,4,400
Cody Martin,2018-19,78,190,SG,Nevada,4,73
Jarrey Foster,2018-19,78,220,SF,SMU,4,221
Barry Brown,2018-19,75,195,PG/SG,Kansas State,4,250
Jarrell Brantley,2018-19,79,255,PF,Charleston,4,400
Anthony Edwards,2019-20,77,225,SG,Georgia,1,2
Obi Toppin,2019-20,81,220,PF,Dayton,2,343
Onyeka Okongwu,2019-20,81,235,PF/C,USC,1,25
Patrick Williams,2019-20,79,215,SF/PF,Florida State,1,26
Isaac Okoro,2019-20,78,215,SG/SF,Auburn,1,36
James Wiseman,2019-20,85,235,C,Memphis,1,1
Tyrese Haliburton,2019-20,77,185,PG,Iowa State,2,172
Devin Vassell,2019-20,79,200,SG,Florida State,2,200
Josh Green,2019-20,78,215,SG,Arizona,1,13
Tyrell Terry,2019-20,75,170,PG,Stanford,1,109
Cole Anthony,2019-20,75,185,PG,UNC,1,4
Precious Achiuwa,2019-20,81,235,SF/PF,Memphis,1,15
Kira Lewis,2019-20,75,170,PG,Alabama,2,39
Vernon Carey,2019-20,82,270,PF/C,Duke,1,6
Jalen Smith,2019-20,82,220,PF,Maryland,2,16
Saddiq Bey,2019-20,80,215,SF,Villanova,2,137
Jaden McDaniels,2019-20,82,200,PF,Washington,1,8
Aaron Nesmith,2019-20,78,215,SG/SF,Vanderbilt,2,64
Tyrese Maxey,2019-20,75,200,SG,Kentucky,1,10
Nico Mannion,2019-20,75,190,PG,Arizona,1,9
Tyler Bey,2019-20,79,215,PF,Colorado,3,130
Zeke Nnaji,2019-20,83,245,PF/C,Arizona,1,40
Daniel Oturu,2019-20,82,240,C,Minnesota,2,50
Isaiah Joe,2019-20,76,170,SG,Arkansas,2,170
Elijah Hughes,2019-20,78,230,SG,Syracuse,3,200
Devon Dotson,2019-20,74,185,PG,Kansas,2,21
Malachi Flynn,2019-20,74,185,PG,San Diego State,3,293
Reggie Perry,2019-20,81,250,PF/C,Mississippi State,2,31
Desmond Bane,2019-20,78,220,SG,TCU,4,343
Jahmius Ramsey,2019-20,76,195,SG,Texas Tech,1,32
Payton Pritchard,2019-20,74,195,PG,Oregon,4,54
Immanuel Quickley,2019-20,75,185,PG/SG,Kentucky,2,22
Paul Reed,2019-20,82,220,PF/C,DePaul,3,271
Cassius Stanley,2019-20,78,200,SG,Duke,1,37
Jordan Nwora,2019-20,79,225,SF,Louisville,3,88
Isaiah Stewart,2019-20,80,245,PF/C,Washington,1,3
Tre Jones,2019-20,74,185,PG,Duke,2,15
Karim Mane,2019-20,78,195,SG,Canada,2,58
Naji Marshall,2019-20,79,235,PG/SG,Xavier,3,58
Nick Richards,2019-20,84,240,C,Kentucky,3,18
Robert Woodard,2019-20,79,230,SF,Mississippi State,2,63
Ty-Shon Alexander,2019-20,75,200,PG/SG,Creighton,2,113
Markus Howard,2019-20,71,170,PG,Marquette,4,68
Nate Hinton,2019-20,77,210,SG/SF,Houston,2,105
Udoka Azubuike,2019-20,83,260,C,Kansas,4,33
Trent Forrest,2019-20,77,205,PG/SG,Florida State,4,70
CJ Elleby,2019-20,79,200,SG/SF,Washington State,2,385
Grant Riller,2019-20,73,180,PG/SG,Charleston,4,400
Ashton Hagans,2019-20,75,195,PG,Kentucky,2,12
Austin Wiley,2019-20,82,260,C,Auburn,4,35
Omer Yurtseven,2019-20,84,275,C,Georgetown,3,55
Lamar Stevens,2019-20,79,230,SF/PF,Penn State,4,98
Jalen Harris,2019-20,76,195,PG/SG,Nevada,3,325
Skylar Mays,2019-20,76,205,PG/SG,LSU,4,135
Yoeli Childs,2019-20,79,225,PF,BYU,4,115
Mamadi Diakite,2019-20,82,220,PF,Virginia,4,32
Xavier Tillman,2019-20,81,265,PF/C,Michigan State,2,112
Saben Lee,2019-20,74,175,PG/SG,Vanderbilt,2,105
Tyrique Jones,2019-20,80,235,PF,Xavier,4,105
Cassius Winston,2019-20,74,195,PG,Michigan State,4,31
Steven Enoch,2019-20,82,250,C,Louisville,4,84
Malik Fitts,2019-20,80,230,SF,Saint Mary's,3,318
Killian Tillie,2019-20,82,220,PF,Gonzaga,4,123
Mustapha Heron,2019-20,77,220,SG,St. John's (NY),4,22
Kamar Baldwin,2019-20,73,195,PG,Butler,4,155
Rayshaun Hammonds,2019-20,80,235,PF,Georgia,3,51
Breein Tyree,2019-20,74,195,PG/SG,Ole Miss,3,179
Khalil Whitney,2019-20,79,205,SF,Kentucky,1,11
Isiaha Mike,2019-20,80,200,SF,SMU,2,400
Anthony Cowan,2019-20,72,170,PG,Maryland,4,62
Tres Tinkle,2019-20,80,225,SF,Oregon State,4,78
Myles Powell,2019-20,74,195,SG,Seton Hall,3,81
Davide Moretti,2019-20,74,185,PG/SG,Texas Tech,2,98
Lamine Diane,2019-20,79,200,SF,Cal State Northridge,2,166
EJ Montgomery,2019-20,82,230,PF,Kentucky,2,9
Kaleb Wesson,2019-20,82,255,C,Ohio State,3,75
Kristian Doolittle,2019-20,79,235,SF,Oklahoma,4,121
Jordan Ford,2019-20,73,175,PG,Saint Mary's,3,154
Freddie Gillespie,2019-20,81,245,PF/C,Baylor,4,400
Sam Merrill,2019-20,77,205,SG,Utah State,4,400
Trevelin Queen,2019-20,78,190,SG,New Mexico State,4,400
Nathan Knight,2019-20,81,235,C,William & Mary,4,400
Anthony Lamb,2019-20,78,225,SF/PF,Vermont,4,400
Alpha Diallo,2019-20,78,210,SG/SF,Providence,4,117
Cade Cunningham,2020-21,80,220,PG/SG,Oklahoma State,1,1
Evan Mobley,2020-21,84,215,PF/C,USC,1,3
Jalen Suggs,2020-21,76,205,PG,Gonzaga,1,11
Scottie Barnes,2020-21,80,225,SF/PF,Florida State,1,7
James Bouknight,2020-21,77,190,SG,UConn,2,66
Moses Moody,2020-21,78,210,SG,Arkansas,1,46
Ziaire Williams,2020-21,81,190,SG/SF,Stanford,1,6
Kai Jones,2020-21,83,220,C,Texas,2,51
Franz Wagner,2020-21,82,220,SF/PF,Michigan,2,114
Davion Mitchell,2020-21,73,200,PG,Baylor,3,59
Corey Kispert,2020-21,79,225,SG/SF,Gonzaga,4,106
Trey Murphy,2020-21,81,205,SF/PF,Virginia,3,400
Keon Johnson,2020-21,77,185,SG/SF,Tennessee,1,19
Jalen Johnson,2020-21,81,210,SF/PF,Duke,1,147
Joshua Primo,2020-21,77,190,SG,Alabama,1,62
Miles McBride,2020-21,74,195,PG,West Virginia,2,301
NahShon Hyland,2020-21,75,170,PG/SG,VCU,2,81
Chris Duarte,2020-21,78,190,SG,Oregon,4,237
Cameron Thomas,2020-21,75,200,SG,LSU,1,25
Ayo Dosunmu,2020-21,77,195,PG/SG,Illinois,3,32
Jared Butler,2020-21,75,195,PG/SG,Baylor,3,97
Brandon Boston Jr,2020-21,79,185,SG,Kentucky,1,5
Jaden Springer,2020-21,76,200,SG,Tennessee,1,16
Joel Ayayi,2020-21,77,180,PG/SG,Gonzaga,3,100
Charles Bassey,2020-21,82,230,PF/C,Western Kentucky,3,6
Josh Christopher,2020-21,76,215,SG,Arizona State,1,12
Tre Mann,2020-21,76,180,PG,Florida,2,21
Isaiah Jackson,2020-21,82,205,PF/C,Kentucky,1,30
Sharife Cooper,2020-21,73,180,PG,Auburn,1,24
Jason Preston,2020-21,76,180,PG,Ohio,3,400
Quentin Grimes,2020-21,77,210,SG,Houston,3,10
Greg Brown,2020-21,80,205,SF/PF,Texas,1,9
JT Thor,2020-21,82,205,PF/C,Auburn,1,54
Aaron Wiggins,2020-21,78,190,SG,Maryland,3,42
Herb Jones,2020-21,79,205,SG/SF,Alabama,4,148
Moses Wright,2020-21,81,225,PF/C,Georgia Tech,4,400
Jeremiah Robinson-Earl,2020-21,81,240,PF,Villanova,2,16
Jericho Sims,2020-21,82,250,PF/C,Texas,4,53
Neemias Queta,2020-21,84,250,C,Utah State,3,400
Joe Wieskamp,2020-21,79,205,SG/SF,Iowa,3,60
Isaiah Livers,2020-21,79,230,SF/PF,Michigan,4,133
David Duke,2020-21,77,205,PG/SG,Providence,3,47
DayRon Sharpe,2020-21,82,265,PF/C,UNC,1,15
Aaron Henry,2020-21,78,210,SG/SF,Michigan State,3,140
EJ Onu,2020-21,83,240,PF,Shawnee State,4,400
Chris Smith,2020-21,81,215,SF/PF,UCLA,4,304
Raiquan Gray,2020-21,80,270,PF/C,Florida State,3,159
Justin Champagnie,2020-21,79,205,SF,Pitt,2,248
David Johnson,2020-21,76,205,PG,Louisville,2,82
Kessler Edwards,2020-21,80,205,PF,Pepperdine,3,286
Duane Washington,2020-21,75,210,PG/SG,Ohio State,3,167
John Petty,2020-21,78,185,SG,Alabama,4,33
Mac McClung,2020-21,74,180,PG/SG,Texas Tech,3,245
RJ Nembhard,2020-21,77,195,PG/SG,TCU,3,132
Sam Hauser,2020-21,80,215,SF,Virginia,4,83
Bryce Wills,2020-21,78,205,SG,Stanford,3,143
Marcus Garrett,2020-21,78,190,PG/SG,Kansas,4,55
Marcus Zegarowski,2020-21,74,180,PG/SG,Creighton,3,110
DJ Steward,2020-21,74,160,PG,Duke,1,26
Derrick Alston,2020-21,81,190,SG/SF,Boise State,4,400
Sandro Mamukelashvili,2020-21,82,240,PF,Seton Hall,4,199
Luka Garza,2020-21,83,245,C,Iowa,4,118
McKinley Wright,2020-21,72,190,PG,Colorado,4,229
Carlik Jones,2020-21,73,175,PG,Louisville,4,400
Aamir Simms,2020-21,81,235,PF,Clemson,4,115
Austin Reaves,2020-21,78,195,PG/SG,Oklahoma,4,400
Scottie Lewis,2020-21,77,190,SG/SF,Florida,2,7
Yves Pons,2020-21,79,205,PF/C,Tennessee,4,127
Trendon Watford,2020-21,81,235,SF/PF,LSU,2,18
Olivier Sarr,2020-21,84,235,C,Kentucky,4,222
MaCio Teague,2020-21,75,190,SG,Baylor,4,279
Matthew Hurt,2020-21,82,230,SF/PF,Duke,2,12
Balsa Koprivica,2020-21,85,250,C,Florida State,2,77
DeJon Jarreau,2020-21,77,185,PG,Houston,4,53
JaQuori McLaughlin,2020-21,76,185,SG,UC Santa Barbara,4,95
Derek Culver,2020-21,82,255,C,West Virginia,3,84
Dalano Banton,2020-21,81,195,PG/SG,Nebraska,2,92
Feron Hunt,2020-21,80,195,SF,SMU,3,194
Jose Alvarado,2020-21,72,175,PG,Georgia Tech,4,170
MJ Walker,2020-21,77,215,SG,Florida State,4,28
Chaundee Brown,2020-21,78,215,SG/SF,Michigan,4,36
Jamorko Pickett,2020-21,81,205,SF,Georgetown,4,76
Ethan Thompson,2020-21,77,195,SG,Oregon State,4,37
Romeo Weems,2020-21,79,215,SF,DePaul,2,62
Oscar da Silva,2020-21,82,225,PF,Stanford,4,147
Javonte Smart,2020-21,76,190,PG/SG,LSU,3,35
DJ Carton,2020-21,74,200,PG,Marquette,2,34
Denzel Mahoney,2020-21,77,220,SG/SF,Creighton,4,400
Jabari Smith,2021-22,82,220,PF,Auburn,1,7
Jaden Ivey,2021-22,76,195,PG/SG,Purdue,2,89
Paolo Banchero,2021-22,82,250,PF/C,Duke,1,2
Chet Holmgren,2021-22,84,195,PF/C,Gonzaga,1,1
Bennedict Mathurin,2021-22,78,205,SG/SF,Arizona,2,129
Keegan Murray,2021-22,80,225,SF/PF,Iowa,2,334
AJ Griffin,2021-22,78,220,SF,Duke,1,18
Johnny Davis,2021-22,77,195,SG,Wisconsin,2,164
Malaki Branham,2021-22,77,195,SG/SF,Ohio State,1,38
Shaedon Sharpe,2021-22,77,200,SG,Kentucky,1,3
Jeremy Sochan,2021-22,81,230,PF,Baylor,1,114
Mark Williams,2021-22,85,240,C,Duke,2,28
Max Christie,2021-22,77,190,SG,Michigan State,1,20
Jalen Duren,2021-22,83,250,PF/C,Memphis,1,6
Ochai Agbaji,2021-22,78,215,SG,Kansas,4,132
Blake Wesley,2021-22,76,185,PG/SG,Notre Dame,1,121
Tari Eason,2021-22,80,215,SF/PF,LSU,2,138
Wendell Moore,2021-22,77,215,SG/SF,Duke,3,29
Jalen Williams,2021-22,78,210,SG/SF,Santa Clara,3,242
TyTy Washington,2021-22,75,195,PG,Kentucky,1,15
Kennedy Chandler,2021-22,73,170,PG,Tennessee,1,9
Jaylin Williams,2021-22,82,235,PF/C,Arkansas,2,120
Walker Kessler,2021-22,85,255,C,Auburn,2,22
John Butler,2021-22,85,175,PF/C,Florida State,1,71
Christian Braun,2021-22,79,210,SG,Kansas,3,130
Dalen Terry,2021-22,79,195,PG/SG,Arizona,2,52
EJ Liddell,2021-22,79,245,PF,Ohio State,3,44
Andrew Nembhard,2021-22,76,195,PG,Gonzaga,4,23
Ron Harper Jr,2021-22,77,240,SF,Rutgers,4,175
Ryan Rollins,2021-22,75,180,PG/SG,Toledo,2,400
Bryce McGowens,2021-22,78,180,SG,Nebraska,1,29
Caleb Houstan,2021-22,80,205,SG/SF,Michigan,1,11
Christian Koloko,2021-22,84,220,C,Arizona,3,187
Justin Lewis,2021-22,79,235,PF/C,Marquette,1,106
Patrick Baldwin Jr,2021-22,82,220,SF/PF,WisconsinMilwaukee,1,8
Jake LaRavia,2021-22,80,225,SF/PF,Wake Forest,3,250
Jamaree Bouyea,2021-22,73,170,PG,San Francisco,4,
Peyton Watson,2021-22,80,205,SG/SF,UCLA,1,12
Kendall Brown,2021-22,79,200,SF/PF,Baylor,1,14
Trevor Keels,2021-22,76,225,PG/SG,Duke,1,23
Josh Minott,2021-22,80,205,SF/PF,Memphis,1,45
Iverson Molinar,2021-22,75,185,PG,Mississippi State,3,208
JD Davison,2021-22,74,190,PG/SG,Alabama,1,13
Lester Quinones,2021-22,77,210,SG/SF,Memphis,3,58
Jabari Walker,2021-22,80,215,SF/PF,Colorado,2,172
Jordan Hall,2021-22,79,215,PG/SG,St. Joseph's,2,400
Bryson Williams,2021-22,81,235,PF/C,Texas Tech,4,362
Donovan Williams,2021-22,78,190,SG,UNLV,3,73
Julian Champagnie,2021-22,79,210,SF,St. John's (NY),3,162
Orlando Robinson,2021-22,83,245,C,Fresno State,3,365
Alondes Williams,2021-22,77,210,SG,Wake Forest,4,400
Scotty Pippen Jr,2021-22,73,180,PG/SG,Vanderbilt,3,213
Jared Rhoden,2021-22,78,200,SG/SF,Seton Hall,4,199
Aminu Mohammed,2021-22,77,215,SG/SF,Georgetown,1,24
David Roddy,2021-22,78,260,SF/PF,Colorado State,3,400
Dereon Seabron,2021-22,78,180,SG/SF,NC State,2,129
Johnny Juzang,2021-22,78,210,SG/SF,UCLA,3,33
Moussa Diabate,2021-22,82,215,PF/C,Michigan,1,17
Kenneth Lofton,2021-22,79,280,PF,Louisiana Tech,2,250
Trevion Williams,2021-22,80,265,PF/C,Purdue,4,154
Tevin Brown,2021-22,77,175,SF,Murray State,3,281
Izaiah Brockington,2021-22,76,195,PG/SG,Iowa State,4,400
Alex Barcello,2021-22,74,190,PG,BYU,4,83
Keon Ellis,2021-22,77,165,SG,Alabama,4,169
Kellan Grady,2021-22,78,205,PG/SG,Kentucky,4,95
JD Notae,2021-22,74,180,PG,Arkansas,4,343
Brady Manek,2021-22,81,220,PF/C,UNC,4,117
Keve Aluma,2021-22,81,230,SF/PF,Virginia Tech,4,400
Gabe Brown,2021-22,80,205,SF,Michigan State,4,101
Kofi Cockburn,2021-22,84,295,C,Illinois,3,46
Quenton Jackson,2021-22,76,170,PG/SG,Texas A&M,4,232
Amadou Sow,2021-22,81,235,PF,UC Santa Barbara,4,223
Michael Devoe,2021-22,77,180,PG/SG,Georgia Tech,4,51
Jermaine Samuels,2021-22,79,220,SF,Villanova,4,46
Tyrese Martin,2021-22,79,215,SG/SF,UConn,4,220
Collin Gillespie,2021-22,75,195,PG,Villanova,4,200
JeeNathan Williams,2021-22,77,205,SG/SF,Buffalo,4,130
Buddy Boeheim,2021-22,78,200,SG,Syracuse,4,349
Taevion Kinsey,2021-22,77,185,SG,Marshall,4,400
